name,abbrev,category,metric,value,index
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.6428464417,2020-02-23
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,3.5063207375,2020-02-24
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-25
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-02-26
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,2.2342365583,2020-02-27
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,71.608949175,2020-02-28
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,23.7387559292,2020-02-29
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,43.6722396896,2020-03-01
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,18.1212095208,2020-03-02
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-03-03
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.3924943958,2020-03-04
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,18.4696615,2020-03-05
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,29.6291924375,2020-03-06
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,28.6590070625,2020-03-07
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,5.9217455625,2020-03-08
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,24.4713858813,2020-03-09
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,76.4857005771,2020-03-10
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,26.18883425,2020-03-11
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,51.4731163667,2020-03-12
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,40.1701624167,2020-03-13
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,51.9392924167,2020-03-14
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.9564552083,2020-03-15
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,38.8963327083,2020-03-16
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,37.0874922292,2020-03-17
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,66.8049547083,2020-03-18
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,45.022657,2020-03-19
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,19.6062630208,2020-03-20
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,29.1356124583,2020-03-21
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,67.0565555208,2020-03-22
